Code	Repository	GeneName	GeneSymbol	MotifLength
JUN_HUMAN.H10MO.A	HOCOMOCOv10	JUN	JUN	9
KLF12_HUMAN.H10MO.D	HOCOMOCOv10	KLF12	KLF12	12
KLF13_HUMAN.H10MO.D	HOCOMOCOv10	KLF13	KLF13	11
KLF14_HUMAN.H10MO.D	HOCOMOCOv10	KLF14	KLF14	13
KLF15_HUMAN.H10MO.D	HOCOMOCOv10	KLF15	KLF15	17
KLF16_HUMAN.H10MO.D	HOCOMOCOv10	KLF16	KLF16	19
KLF1_HUMAN.H10MO.C	HOCOMOCOv10	KLF1	KLF1	11
KLF3_HUMAN.H10MO.D	HOCOMOCOv10	KLF3	KLF3	15
KLF4_HUMAN.H10MO.A	HOCOMOCOv10	KLF4	KLF4	10
KLF6_HUMAN.H10MO.D	HOCOMOCOv10	KLF6	KLF6	8
KLF8_HUMAN.H10MO.C	HOCOMOCOv10	KLF8	KLF8	9
LBX2_HUMAN.H10MO.D	HOCOMOCOv10	LBX2	LBX2	11
LEF1_HUMAN.H10MO.C	HOCOMOCOv10	LEF1	LEF1	7
LHX2_HUMAN.H10MO.D	HOCOMOCOv10	LHX2	LHX2	13
LHX3_HUMAN.H10MO.C	HOCOMOCOv10	LHX3	LHX3	13
LHX4_HUMAN.H10MO.D	HOCOMOCOv10	LHX4	LHX4	11
LHX6_HUMAN.H10MO.D	HOCOMOCOv10	LHX6	LHX6	18
LHX8_HUMAN.H10MO.D	HOCOMOCOv10	LHX8	LHX8	18
LHX9_HUMAN.H10MO.D	HOCOMOCOv10	LHX9	LHX9	18
LMX1A_HUMAN.H10MO.D	HOCOMOCOv10	LMX1A	LMX1A	19
LMX1B_HUMAN.H10MO.D	HOCOMOCOv10	LMX1B	LMX1B	18
MAFA_HUMAN.H10MO.D	HOCOMOCOv10	MAFA	MAFA	21
MAFB_HUMAN.H10MO.D	HOCOMOCOv10	MAFB	MAFB	9
MAFF_HUMAN.H10MO.A	HOCOMOCOv10	MAFF	MAFF	22
MAFG_HUMAN.H10MO.C	HOCOMOCOv10	MAFG	MAFG	21
MAFG_HUMAN.H10MO.S	HOCOMOCOv10	MAFG	MAFG	7
MAFK_HUMAN.H10MO.A	HOCOMOCOv10	MAFK	MAFK	22
